Container Name	Plate ID	Description	ContainerType	AppType	Owner	Operator	PlateSealing	SchedulingPref
C06	Anan_PolyHed-F_CC_Plas_2500_34		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D06	Anan_PolyHed-F_Knl2_Plas_2500_35		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E06	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F06	Isra_GFP-F_1_Plas_1000_36		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G06	Isra_pFastR_2_Plas_1000_37		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H06	Isra_980R_3_Plas_1000_38		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A07	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B07	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C07	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D07	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E07	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F07	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G07	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H07	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A08	Ange_1_plas_1000_39		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B08	Ange_2_plas_1000_40		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C08	Ange_3_plas_1000_41		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D08	Ange_4_plas_1000_42		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E08	Ange_9_plas_1000_43		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F08	Ange_10_plas_1000_44		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G08	Ange_11_plas_1000_45		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H08	Ange_12_plas_1000_46		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A09	PC_55		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B09	PC_56		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C09	PC_57		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D09	PC_58		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E09	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F09	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G09	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H09	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A10	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B10	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C10	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D10	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E10	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F10	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G10	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H10	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A11	Apar_ATD14-FRW_pGex-AtD14SA-1F_PCR_1000_47		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B11	Apar_ATD14-FRW_pGex-AtD14SA-2F_PCR_1000_48		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C11	Apar_ATD14-FRW_pGex-AtD14SA-3F_PCR_1000_49		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D11	Apar_ATD14-FRW_pGex-AtD14SA-4F_PCR_1000_50		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E11	Apar_ATD14-REV_pGex-AtD14SA-1R_PCR_1000_51		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F11	Apar_ATD14-REV_pGex-AtD14SA-2R_PCR_1000_52		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G11	Apar_ATD14-REV_pGex-AtD14SA-3R_PCR_1000_53		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H11	Apar_ATD14-REV_pGex-AtD14SA-4R_PCR_1000_54		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
A12	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
B12	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
C12	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
D12	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
E12	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
F12	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
G12	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
H12	control		Sequencing_Results_Group	Seq31	3730BDTv3-KB-DeNovo_v5.2			
